key;alkali;halide;conv_pressure;conv_total_energy;conv_eps;calc_a0;calc_eps0;calc_epsinf;calc_Eg
U8;U8;U8;float;float;float;float;float;float;float
LiF;Li;F;0.06;-63.98250552;;4.061016458;;;
LiCl;Li;Cl;0.2;-47.47403526;;5.148902654;;;
LiBr;Li;Br;0.04;-46.10236352;;5.50980118;;;
LiI;Li;I;0.41;-40.46008273;;6.015601764;;;
NaF;Na;F;0.02;-140.9672357;;4.699447134;;;
NaCl;Na;Cl;0.02;-124.4929562;;5.658673854;;;
NaBr;Na;Br;1.16;-123.127489;;6.024817252;;;
NaI;Na;I;0.1;-117.4911062;;6.527704042;;;
KF;K;F;-0.26;-109.6494774;;5.41752843;;;
KCl;K;Cl;0.07;-93.19050039;;6.057276572;;;
KBr;K;Br;1.2;-91.83676897;;6.684072242;;;
KI;K;I;1.13;-86.20573994;;7.15637773;;;
RbF;Rb;F;0;-103.6821528;;5.740419042;;;
RbCl;Rb;Cl;0.23;-87.23726925;;6.695115648;;;
RbBr;Rb;Br;0.14;-85.87793728;;6.87958204;;;
RbI;Rb;I;1.09;-80.25004398;;7.45945055;;;
CsF;Cs;F;0.3;-96.28103389;;6.11089756;;;
CsCl;Cs;Cl;0.17;-79.84215442;;7.07;;;
CsBr;Cs;Br;0.28;-78.48568975;;7.379946746;;;
CsI;Cs;I;1.48;-72.85909786;;7.807490688;;;
# COMMENTS
